Проект,,Youtube,
Дата,,25.02.2025,
Тестировщик,,Венера Юскеева,
Предусловия,,,
Окружение,,,
Вид тестирования,,,
Номер,Проверки,Статус,Комментарий
1,Плеер отображен и доступен,Успешно,
2,Кнопка Play начинает воспроизведение видео,Успешно,
3,Кнопка Pause останавливает воспроизведение видео,Успешно,
4,На временной метке отображается отсчет времени с момента начала воспроизведения видео,Успешно,
5,На временной метке отображается полное время видео,Успешно,
6,"Время воспроизведения видео и ползунок прокрутки обновляются
в режиме реального времени",Успешно,
7,"Перемотка видео вперед/назад с помощью ползунка прокрутки
или кнопок перемотки",Успешно,
8,"Воспроизведение возобновляется с того же самого места, где остановилось.",Успешно,
9,Воспроизведение останавливается/возобновляется при клике на само видео,Успешно,
10,После завершения видео есть возможность запустить повтор видео,,
,Качество видео,Успешно,
11,"Переключение между различными качествами видео и переключение происходит без задержек""",Успешно,"Качество видео: 360р, 480р, 720р, 1080р"
12,Видео разворачивается в полный экран,Успешно,
13,Видео сворачивается обратно из полного экрана,Успешно,
,Звук и громкость,Успешно,
14,Иконка громкости при нажатии выключает звук и иконка перечеркивается,Успешно,
15,Перечеркнутая иконка громкости при нажатии на нее включает звук,,
16,Ползунок регулировки громкости изменяет уровень звука,Успешно,
17,Буква m на клавише изменяет громкость,Успешно,
18,Громкость сохраняется при переключении видео,Успешно,
,Управление скоростью воспроизведения,,
19,Регулировка скорости воспроизведения видео,Успешно,"Скорость: 0.25x, 0.5x, 1.5x, 2x"
,Субтитры и дополнительные функции,,
20,"Субтитры отображены в плеере (при их выборе)
Кнопка включения/выключения субтитров активна",Успешно,
21,Кнопка «Настройки» открывает меню,Успешно,
22,Режим «Картинка в картинке»  работает,Успешно,
23,Отключение автоматического воспроизведения следующего видео после завершения предыдущего,Успешно,
24,"Функция добавления видео в ""Избранное""",Успешно,
25,Возможность делиться видео в социальных сетях,Успешно,
